Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC,MCC,AUC_PR
KC3,CFS,ADASYN,LR,0.4079,0.5417,0.4467,0.6772,0.301,0.5012
KC3,CFS,ADASYN,SVM,0.3283,0.4833,0.3811,0.6953,0.2326,0.516
KC3,CFS,ADASYN,RF,0.3562,0.3917,0.3656,0.6941,0.2188,0.4774
KC3,CFS,ADASYN,XGB,0.3783,0.4417,0.3989,0.6725,0.2484,0.4975
KC3,CFS,CostSensitive,LR,0.4133,0.475,0.4068,0.6859,0.2792,0.5121
KC3,CFS,CostSensitive,SVM,0.4367,0.5333,0.4472,0.7366,0.3291,0.5686
KC3,CFS,CostSensitive,RF,0.3717,0.425,0.3919,0.7051,0.2426,0.4635
KC3,CFS,CostSensitive,XGB,0.5233,0.5167,0.5089,0.7467,0.4038,0.5826
MC1,,,LR,0.0833,0.04,0.0536,0.7853,0.0515,0.1796
MC1,,,SVM,0.0,0.0,0.0,0.6882,0.0,0.2004
MC1,,,RF,0.4667,0.17,0.2405,0.9021,0.2687,0.516
MC1,,,XGB,0.5667,0.235,0.3179,0.8731,0.3474,0.4746
MC1,,SMOTE,LR,0.0814,0.655,0.144,0.7609,0.1841,0.2089
MC1,,SMOTE,SVM,0.1102,0.6,0.1852,0.7634,0.2185,0.1474
MC1,,SMOTE,RF,0.3933,0.295,0.3338,0.9027,0.3282,0.3616
MC1,,SMOTE,XGB,0.3033,0.29,0.2953,0.8671,0.2838,0.3818
MC1,,ADASYN,LR,0.0804,0.675,0.143,0.7637,0.1861,0.2225
MC1,,ADASYN,SVM,0.1048,0.62,0.1782,0.7651,0.2147,0.1472
MC1,,ADASYN,RF,0.4217,0.34,0.3703,0.9163,0.3642,0.378
MC1,,ADASYN,XGB,0.3179,0.27,0.2877,0.8662,0.2794,0.3752
MC1,,CostSensitive,LR,0.0771,0.645,0.1373,0.7736,0.1752,0.2031
MC1,,CostSensitive,SVM,0.1017,0.595,0.1729,0.7716,0.2051,0.1524
MC1,,CostSensitive,RF,0.435,0.36,0.3843,0.8997,0.3814,0.4862
MC1,,CostSensitive,XGB,0.3821,0.345,0.3508,0.864,0.346,0.4527
MC1,IG,,LR,0.0,0.0,0.0,0.7819,-0.0016,0.1723
MC1,IG,,SVM,0.0,0.0,0.0,0.682,0.0,0.2798
MC1,IG,,RF,0.61,0.285,0.3505,0.9157,0.3864,0.5548
MC1,IG,,XGB,0.6,0.27,0.3623,0.8633,0.3892,0.4908
MC1,IG,SMOTE,LR,0.0545,0.52,0.0982,0.7462,0.1117,0.1591
MC1,IG,SMOTE,SVM,0.0797,0.61,0.1401,0.779,0.1722,0.1291
MC1,IG,SMOTE,RF,0.4662,0.39,0.4076,0.9,0.4053,0.4555
MC1,IG,SMOTE,XGB,0.3875,0.375,0.3753,0.8792,0.3647,0.4082
MC1,IG,ADASYN,LR,0.0633,0.575,0.1134,0.7701,0.1359,0.1715
MC1,IG,ADASYN,SVM,0.0837,0.65,0.1474,0.7829,0.1862,0.1484
MC1,IG,ADASYN,RF,0.3779,0.36,0.3651,0.9011,0.3535,0.4292
MC1,IG,ADASYN,XGB,0.4947,0.44,0.4418,0.8711,0.4431,0.4632
MC1,IG,CostSensitive,LR,0.0648,0.6,0.1166,0.8045,0.1449,0.1748
MC1,IG,CostSensitive,SVM,0.0914,0.66,0.1598,0.815,0.2015,0.1469
MC1,IG,CostSensitive,RF,0.5833,0.435,0.4807,0.8795,0.485,0.5423
MC1,IG,CostSensitive,XGB,0.5567,0.4,0.4352,0.8742,0.4458,0.4842
MC1,CFS,,LR,0.1,0.02,0.0333,0.7886,0.0426,0.1557
MC1,CFS,,SVM,0.0,0.0,0.0,0.7076,0.0,0.2633
MC1,CFS,,RF,0.41,0.195,0.241,0.905,0.2608,0.5384
MC1,CFS,,XGB,0.5933,0.295,0.3771,0.8388,0.3989,0.4796
MC1,CFS,SMOTE,LR,0.0561,0.575,0.1019,0.7563,0.1228,0.1666
MC1,CFS,SMOTE,SVM,0.0908,0.715,0.1604,0.7854,0.211,0.1291
MC1,CFS,SMOTE,RF,0.425,0.4,0.4082,0.9038,0.3988,0.4364
MC1,CFS,SMOTE,XGB,0.3833,0.35,0.3524,0.8369,0.3473,0.4274
MC1,CFS,ADASYN,LR,0.0575,0.6,0.1046,0.7624,0.129,0.1534
MC1,CFS,ADASYN,SVM,0.0835,0.715,0.149,0.7815,0.1981,0.123
MC1,CFS,ADASYN,RF,0.39,0.38,0.383,0.9115,0.3718,0.4343
MC1,CFS,ADASYN,XGB,0.3567,0.33,0.3337,0.8524,0.3266,0.4149
MC1,CFS,CostSensitive,LR,0.0586,0.6,0.1065,0.7697,0.132,0.1687
MC1,CFS,CostSensitive,SVM,0.0885,0.635,0.1546,0.8073,0.1921,0.148
MC1,CFS,CostSensitive,RF,0.5233,0.405,0.4463,0.8825,0.4456,0.5179
MC1,CFS,CostSensitive,XGB,0.5375,0.505,0.5091,0.8752,0.506,0.4648
MC2,,,LR,0.5683,0.46,0.4929,0.7452,0.2716,0.7017
MC2,,,SVM,0.65,0.305,0.399,0.7652,0.2995,0.7016
MC2,,,RF,0.7,0.41,0.5087,0.7119,0.3587,0.6639
MC2,,,XGB,0.675,0.39,0.4777,0.6912,0.3215,0.6791
MC2,,SMOTE,LR,0.56,0.625,0.5791,0.749,0.3368,0.7028
MC2,,SMOTE,SVM,0.5817,0.645,0.6002,0.7646,0.3713,0.6722
MC2,,SMOTE,RF,0.6383,0.455,0.5205,0.734,0.3215,0.7024
MC2,,SMOTE,XGB,0.77,0.545,0.6181,0.7356,0.4777,0.7399
MC2,,ADASYN,LR,0.5502,0.67,0.5901,0.7521,0.3425,0.7025
MC2,,ADASYN,SVM,0.5738,0.735,0.6267,0.7602,0.409,0.6799
MC2,,ADASYN,RF,0.6733,0.51,0.561,0.7421,0.3758,0.7019
MC2,,ADASYN,XGB,0.665,0.575,0.6021,0.7315,0.4133,0.7313
MC2,,CostSensitive,LR,0.546,0.645,0.5785,0.7458,0.3191,0.707
MC2,,CostSensitive,SVM,0.6117,0.645,0.6178,0.7481,0.4098,0.6634
MC2,,CostSensitive,RF,0.57,0.495,0.5231,0.6891,0.299,0.6474
MC2,,CostSensitive,XGB,0.6662,0.525,0.566,0.6953,0.3772,0.6835
MC2,IG,,LR,0.6,0.35,0.41,0.6911,0.2358,0.6602
MC2,IG,,SVM,0.5667,0.275,0.3626,0.6926,0.2301,0.6634
MC2,IG,,RF,0.6083,0.34,0.4225,0.6099,0.2327,0.6154
MC2,IG,,XGB,0.6917,0.42,0.4947,0.6695,0.3407,0.6775
MC2,IG,SMOTE,LR,0.5488,0.53,0.5149,0.6966,0.2735,0.6561
MC2,IG,SMOTE,SVM,0.5883,0.59,0.5768,0.7157,0.3515,0.6613
MC2,IG,SMOTE,RF,0.5262,0.41,0.4441,0.7059,0.2004,0.6631
MC2,IG,SMOTE,XGB,0.565,0.435,0.4736,0.6678,0.2424,0.6564
MC2,IG,ADASYN,LR,0.5614,0.575,0.5279,0.6937,0.2846,0.6587
MC2,IG,ADASYN,SVM,0.5412,0.595,0.5501,0.671,0.3015,0.62
MC2,IG,ADASYN,RF,0.5183,0.455,0.4758,0.6848,0.2297,0.6431
MC2,IG,ADASYN,XGB,0.6033,0.455,0.5076,0.6728,0.2907,0.6765
MC2,IG,CostSensitive,LR,0.53,0.555,0.5183,0.6808,0.2704,0.6415
MC2,IG,CostSensitive,SVM,0.61,0.635,0.6128,0.7026,0.4025,0.6306
MC2,IG,CostSensitive,RF,0.5583,0.475,0.51,0.6417,0.2792,0.6387
MC2,IG,CostSensitive,XGB,0.5419,0.465,0.4798,0.6694,0.2554,0.6612
MC2,CFS,,LR,0.8,0.35,0.461,0.7529,0.3832,0.7084
MC2,CFS,,SVM,0.7667,0.325,0.4371,0.7016,0.3518,0.6583
MC2,CFS,,RF,0.65,0.405,0.4956,0.6615,0.3282,0.634
MC2,CFS,,XGB,0.4817,0.435,0.4479,0.5769,0.1913,0.5515
MC2,CFS,SMOTE,LR,0.5776,0.58,0.542,0.7847,0.3438,0.7319
MC2,CFS,SMOTE,SVM,0.5567,0.42,0.4421,0.6985,0.2427,0.6343
MC2,CFS,SMOTE,RF,0.54,0.43,0.4726,0.6336,0.2476,0.6114
MC2,CFS,SMOTE,XGB,0.5417,0.525,0.521,0.6187,0.2836,0.609
MC2,CFS,ADASYN,LR,0.581,0.625,0.5661,0.7667,0.362,0.7061
MC2,CFS,ADASYN,SVM,0.5705,0.57,0.5541,0.6898,0.3406,0.6415
MC2,CFS,ADASYN,RF,0.4833,0.435,0.4452,0.6286,0.1643,0.6379
MC2,CFS,ADASYN,XGB,0.509,0.495,0.4882,0.5994,0.2208,0.5391
MC2,CFS,CostSensitive,LR,0.5738,0.6,0.5501,0.7501,0.3419,0.707
MC2,CFS,CostSensitive,SVM,0.5567,0.51,0.5083,0.6792,0.2914,0.6184
MC2,CFS,CostSensitive,RF,0.61,0.48,0.5234,0.6324,0.3306,0.6237
MC2,CFS,CostSensitive,XGB,0.4733,0.455,0.4571,0.5887,0.1848,0.5559
MW1,,,LR,0.4167,0.2667,0.3133,0.7219,0.288,0.515
MW1,,,SVM,0.0,0.0,0.0,0.6862,-0.0162,0.448
MW1,,,RF,0.35,0.2167,0.26,0.6962,0.2412,0.4377
MW1,,,XGB,0.4833,0.2667,0.3367,0.6916,0.3191,0.4356
MW1,,SMOTE,LR,0.2094,0.5333,0.2962,0.7055,0.2007,0.4629
MW1,,SMOTE,SVM,0.3043,0.3667,0.3205,0.6922,0.2263,0.4359
MW1,,SMOTE,RF,0.3833,0.3833,0.38,0.6846,0.3315,0.4254
MW1,,SMOTE,XGB,0.3583,0.3333,0.3419,0.7152,0.2817,0.4705
MW1,,ADASYN,LR,0.1755,0.5,0.2551,0.6741,0.1486,0.3958
MW1,,ADASYN,SVM,0.1841,0.4,0.2459,0.6517,0.1319,0.4242
MW1,,ADASYN,RF,0.4367,0.3833,0.4017,0.7057,0.3475,0.4531
MW1,,ADASYN,XGB,0.3033,0.3167,0.3055,0.7362,0.2405,0.478
MW1,,CostSensitive,LR,0.2197,0.5333,0.3052,0.7055,0.2068,0.4706
MW1,,CostSensitive,SVM,0.2493,0.35,0.2847,0.7068,0.191,0.4599
MW1,,CostSensitive,RF,0.3617,0.3833,0.3669,0.7201,0.3043,0.471
MW1,,CostSensitive,XGB,0.3583,0.3333,0.3357,0.6348,0.2714,0.4272
MW1,IG,,LR,0.4,0.2,0.2633,0.72,0.254,0.5017
MW1,IG,,SVM,0.15,0.0833,0.1067,0.6657,0.0977,0.4488
MW1,IG,,RF,0.35,0.15,0.2067,0.722,0.1959,0.4531
MW1,IG,,XGB,0.3,0.2167,0.25,0.7418,0.2079,0.4501
MW1,IG,SMOTE,LR,0.2116,0.5,0.2906,0.6937,0.1871,0.4159
MW1,IG,SMOTE,SVM,0.26,0.3833,0.3055,0.6516,0.2219,0.446
MW1,IG,SMOTE,RF,0.45,0.3167,0.3567,0.7192,0.3054,0.4396
MW1,IG,SMOTE,XGB,0.49,0.3833,0.4067,0.6861,0.3586,0.4356
MW1,IG,ADASYN,LR,0.1958,0.45,0.2575,0.6697,0.1329,0.3706
MW1,IG,ADASYN,SVM,0.2369,0.4167,0.294,0.6667,0.1891,0.3851
