Dataset,FS,Imbalance,Classifier,Precision,Recall,F1,AUC
PC4,CFS,SMOTE,SVM,0.4203,0.8359,0.5575,0.9039
PC4,CFS,SMOTE,RF,0.6107,0.7288,0.6615,0.9309
PC4,CFS,SMOTE,XGB,0.6206,0.6775,0.6459,0.9382
PC4,CFS,ADASYN,LR,0.3781,0.8418,0.5202,0.8928
PC4,CFS,ADASYN,SVM,0.3966,0.8641,0.5415,0.9041
PC4,CFS,ADASYN,RF,0.5737,0.6784,0.6195,0.9255
PC4,CFS,ADASYN,XGB,0.6042,0.6605,0.6267,0.9346
PC5,None,None,LR,0.6389,0.2529,0.3565,0.7407
PC5,None,None,SVM,0.681,0.1701,0.2669,0.7317
PC5,None,None,RF,0.6753,0.4077,0.5059,0.7984
PC5,None,None,XGB,0.571,0.4375,0.4939,0.778
PC5,None,SMOTE,LR,0.4449,0.6752,0.5358,0.7409
PC5,None,SMOTE,SVM,0.4388,0.688,0.5354,0.7433
PC5,None,SMOTE,RF,0.5835,0.5584,0.5686,0.8068
PC5,None,SMOTE,XGB,0.57,0.533,0.5491,0.7838
PC5,None,ADASYN,LR,0.4273,0.6858,0.526,0.7367
